gene,gene_symbol,llm_score,rationale
ENSG00000169035.12,KLK7,85,"The abstracts provide strong, direct evidence for KLK7 as a CRC biomarker, demonstrating its overexpression in advanced CRC stages, association with shorter progression-free survival, promotion of metastasis and peritoneal dissemination, and correlation with aggressive tumor features including nodal metastasis and vascular invasion."
ENSG00000165072.10,MAMDC2,75,"The abstract provides strong CRC-specific evidence showing MAMDC2 overexpression in MSS colorectal cancer with high tumor stromal ratio, association with peritoneal metastases, and mechanistic insights into EMT regulation and CAF interaction, indicating emerging biomarker potential for specific CRC subtypes."
ENSG00000186462.9,NAP1L2,75,"The abstract presents strong CRC-specific evidence showing NAP1L2 as part of a biomarker panel with superior diagnostic performance compared to standard markers (CEA, CA19.9), achieving 100% sensitivity and 93% accuracy for CRC detection, though validation appears limited to one study."
ENSG00000135220.11,UGT2A3,75,"The abstracts provide strong CRC-specific evidence for UGT2A3 as a biomarker, demonstrating consistent downregulation in colorectal cancer tissues, diagnostic utility (AUC 0.969), prognostic associations, and mechanistic links to bile acid metabolism and immune microenvironment modulation."
ENSG00000142959.5,BEST4,75,"The abstracts provide strong CRC-specific evidence for BEST4 as a biomarker, including its role in suppressing EMT, association with prognosis, and identification as a diagnostic gene with high AUC values (0.94-0.82) in machine learning models, though validation as an established clinical biomarker is still emerging."
ENSG00000226320.6,LINC01811,85,"The abstract provides direct, specific evidence of LINC01811 as a CRC biomarker with clear mechanistic insight through the miR-214-3p/YAP1 axis and demonstrated functional effects on cancer cell migration and invasion, representing strong biomarker potential for this oncogenic lncRNA."
ENSG00000172987.13,HPSE2,0,No abstracts provided for evaluation.
ENSG00000104112.9,SCG3,75,"The abstracts provide strong CRC-specific evidence with SCG3 identified as a biomarker for rectal cancer progression and prognosis, showing association with pathological stage and survival outcomes, though validation is still emerging."
ENSG00000164270.18,HTR4,45,"The abstracts mention HTR4 in CRC contexts but provide limited direct evidence of biomarker utility. One abstract identifies an HTR4 SNP associated with CRC and shows HTR4 downregulation, while others discuss HTR4's role in bowel preparation and enteric neurogenesis, but these are more tangentially related to CRC biomarker potential."
ENSG00000167080.9,B4GALNT2,85,"The abstracts provide strong, direct evidence for B4GALNT2 as a CRC biomarker, showing it is dramatically downregulated in colorectal cancer with high expression associated with longer survival and better prognosis, supported by mechanistic insights into its regulation and tumor-suppressive functions."
ENSG00000071203.9,MS4A12,75,"The abstracts provide strong CRC-specific evidence for MS4A12 as a biomarker, particularly showing its association with treatment resistance, poor prognosis, and survival outcomes in rectal cancer patients, though the evidence is primarily from emerging studies rather than fully validated clinical applications."
ENSG00000168546.11,GFRA2,45,"GFRA2 is mentioned in CRC-related abstracts as a differentially expressed and methylated gene with diagnostic value, but it is not the primary focus and lacks detailed mechanistic or biomarker validation studies."
ENSG00000169862.19,CTNND2,0,"The abstract discusses mPGES-1 gene instability in colorectal cancer but does not mention CTNND2, which is the gene being evaluated."
ENSG00000103375.11,AQP8,75,"The abstracts provide strong CRC-specific evidence for AQP8 as a biomarker, with consistent findings across multiple studies showing its downregulation in CRC and inclusion in prognostic models, though its role appears to be emerging rather than fully validated."
ENSG00000064205.10,CCN5,65,"The abstracts provide strong CRC-specific evidence for CCN5 (WISP2) as a biomarker, showing its role in CRC progression through Wnt/β-catenin signaling and its dysregulation in CRC, though the evidence is emerging rather than fully validated."
ENSG00000211890.4,IGHA2,25,"The abstracts mention A2M (alpha-2-macroglobulin) in CRC contexts but provide limited direct evidence for its role as a CRC biomarker, with most findings being tangential or part of broader multi-cancer studies rather than CRC-specific investigations."
ENSG00000125851.10,PCSK2,25,"PCSK2 is mentioned in colorectal cancer contexts but only tangentially - primarily in neuroendocrine tumor classification and as a SUMOylation factor (PC2) in one study, with no direct evidence of CRC biomarker utility."
ENSG00000170373.8,CST1,85,"The abstracts provide strong, direct evidence for CST1 as a CRC biomarker with diagnostic and prognostic utility, including overexpression in CRC tissues, correlation with TNM staging and lymph node metastasis, association with poor prognosis, and mechanistic insights through multiple regulatory pathways."
ENSG00000235026.6,DPP10-AS1,85,"The abstract provides direct, specific evidence of DPP10-AS1 as a CRC biomarker with clear anti-tumor effects, prognostic associations (TNM stage, lymph node metastasis), and detailed mechanistic insights through miR-127-3p/ADCY1 pathway regulation of cancer stem cell properties."
ENSG00000111404.7,RERGL,75,"The abstracts provide strong CRC-specific evidence for RERGL as a biomarker, showing consistent downregulation in colorectal adenomas versus hyperplastic polyps, association with CRC prognosis, and involvement in a rare structural variation linked to familial CRC risk, though validation as an established biomarker is still emerging."
ENSG00000089199.10,CHGB,35,"CHGB appears in multiple CRC studies as part of prognostic gene signatures, but the abstracts provide limited direct evidence of its specific role or biomarker utility in colorectal cancer, with most mentions being within broader multi-gene panels rather than focused mechanistic studies."
ENSG00000034971.17,MYOC,20,"While one abstract mentions colon cancer in the context of Src transformation and identifies MYOC as part of a transformation fingerprint, the primary focus is on glaucoma research with only tangential CRC relevance through general transformation pathways."
ENSG00000137727.12,ARHGAP20,65,"The abstract provides direct evidence of ARHGAP20 as a prognostic biomarker in rectal cancer, showing differential protein expression between tumor and normal tissues and association with overall survival through comprehensive TCGA and validation analyses."
ENSG00000196660.11,SLC30A10,65,"The abstracts provide strong CRC-specific evidence with SLC30A10 identified as a downregulated gene in CRC transcriptomic analysis, involvement in cisplatin resistance mechanisms, and protective effects through colonic microbiota homeostasis, though biomarker validation remains limited."
ENSG00000150471.16,ADGRL3,25,"The abstracts mention LPHN3 (ADGRL3) in colorectal cancer contexts but only as part of broader multi-gene panels or pathway studies, without specific evidence of its individual biomarker utility or mechanistic role in CRC."
ENSG00000163586.10,FABP1,75,"The abstracts provide strong CRC-specific evidence for FABP1 as a biomarker, showing its role in colorectal cancer progression, metabolic reprogramming, and potential therapeutic targeting, though validation as an established clinical biomarker is still emerging."
ENSG00000122756.15,CNTFR,35,"The abstract identifies CNTFR as hypermethylated in 22% of colorectal cancer patients, but provides minimal CRC-specific mechanistic insight or biomarker validation, with the gene being one of nine mentioned without detailed functional analysis."
ENSG00000173237.4,C11orf86,25,The abstracts mention colorectal cancer but focus primarily on drug combination studies rather than C11orf86 as a biomarker. Neither abstract discusses C11orf86 specifically or provides evidence for its role as a CRC biomarker.
ENSG00000143171.13,RXRG,75,"The abstracts provide strong CRC-specific evidence showing RXRG's decreased expression during colorectal carcinogenesis and its role as a therapeutic target, with multiple studies demonstrating biomarker potential through differential expression patterns and drug targeting mechanisms."
ENSG00000228742.11,LINC02577,75,"The abstracts provide strong CRC-specific evidence for LINC02577 as a biomarker, with Abstract 1 demonstrating excellent diagnostic performance (AUC = 0.982) and significant upregulation in CRC tumors, plus association with treatment response to leucovorin-containing therapy."
ENSG00000139800.8,ZIC5,85,"The abstracts provide strong, direct evidence for ZIC5 as a CRC biomarker with established prognostic value, mechanistic insights through Wnt signaling activation, and therapeutic potential as demonstrated by targeted compounds inducing cancer cell apoptosis."
ENSG00000136546.16,SCN7A,0,"No abstracts provided contain any mention of the SCN7A gene, which is a sodium channel gene. All abstracts focus on colorectal cancer topics but discuss other biomarkers and methodologies without reference to SCN7A."
ENSG00000101441.4,CST4,85,"The abstracts provide strong, direct evidence for CST4 as a CRC biomarker with validated diagnostic utility, showing superior performance compared to conventional markers like CEA and CA19-9, and demonstrating clinical application in point-of-care diagnosis with high accuracy (AUC 100% in one study)."
ENSG00000154165.5,GPR15,65,"The abstracts provide strong CRC-specific evidence with GPR15 showing biomarker potential through differential expression, prognostic modeling, and therapeutic targeting, though the evidence is emerging rather than fully validated."
ENSG00000233532.6,LINC00460,85,"The abstracts provide strong, direct evidence for LINC00460 as a CRC biomarker with demonstrated diagnostic, prognostic, and therapeutic potential, including associations with metastasis, survival outcomes, and immune escape mechanisms specific to colorectal cancer."
ENSG00000178773.15,CPNE7,85,"The abstracts provide strong, direct evidence of CPNE7 as a CRC biomarker with clear diagnostic and therapeutic potential, including overexpression in CRC tissues, correlation with patient prognosis, mechanistic insights through multiple pathways (NONO-ZFP42, ATG9B/autophagy, EMT, MAPK), and demonstrated therapeutic targeting approaches."
ENSG00000233670.7,PIRT,0,The abstracts discuss PIRT in contexts unrelated to colorectal cancer biomarkers - one about a transgenic mouse model for pain research and another about radiotherapy abbreviations for anal cancer treatment.
ENSG00000113594.10,LIFR,20,"LIFR is mentioned only tangentially in the abstracts - once as part of a lncRNA name (LIFR-AS1) in a liver cancer study and once as a miR-21 target gene validated in cervical cancer cells, with no direct CRC-specific evidence or biomarker utility demonstrated."
ENSG00000176399.4,DMRTA1,0,No abstracts provided for evaluation.
ENSG00000135549.15,PKIB,75,"The abstracts provide strong CRC-specific evidence for PKIB as a biomarker, including differential expression in CRC tissues, association with tumor infiltration and poor prognosis, and identification as a survival-critical gene in genomic instability analysis."
ENSG00000167767.14,KRT80,75,"The abstracts provide strong CRC-specific evidence for KRT80 as a biomarker, showing its upregulation in tumor budding regions, association with poor prognosis, regulation by miR-195-5p, and identification as a progression-significant biomarker in comprehensive genomic analysis, though validation as an established clinical biomarker is still emerging."
ENSG00000127951.8,FGL2,75,"The abstracts provide strong CRC-specific evidence for FGL2 as a biomarker, demonstrating its role in colorectal liver metastases through TAM-derived extracellular vesicles, its inclusion in diagnostic miRNA-mRNA regulatory pairs, and its identification as a prognostically significant core gene in immune molecular subtypes of colon cancer."
ENSG00000104371.5,DKK4,85,"The abstracts provide strong direct evidence for DKK4 as a CRC biomarker, demonstrating its upregulation in CRC tissues and cell lines, significant prognostic value for survival outcomes, and clear mechanistic role in Wnt/β-catenin signaling regulation and metastasis control."
ENSG00000157005.4,SST,25,"SST is mentioned as one of five downregulated cuproptosis-related hub genes identified as potential diagnostic biomarkers for colon cancer in abstract 1, and discussed in the context of the SRIF system and tumor-associated macrophages in CRC in abstract 2, but evidence is limited and indirect with no specific validation of SST's biomarker utility."
ENSG00000141668.10,CBLN2,75,"The abstracts provide strong CRC-specific evidence for CBLN2 as a biomarker, showing downregulation associated with poor outcomes, mechanistic involvement in STAT3/PD-L1 pathways, and inclusion in multiple prognostic models, though validation is still emerging rather than fully established."
ENSG00000176533.13,GNG7,85,"The abstracts provide strong, direct evidence for GNG7 as a CRC biomarker with clear prognostic value, mechanistic insights through multiple pathways (mTOR, Wnt signaling), and demonstrated associations with immune infiltration and therapeutic potential."
ENSG00000205038.12,PKHD1L1,65,"The abstracts provide strong CRC-specific evidence with PKHD1L1 mutations significantly associated with both overall survival (HR=4.58) and recurrence risk (OR=3.24) in colorectal cancer patients, demonstrating clear prognostic biomarker potential, though validation across larger cohorts would strengthen the evidence."
ENSG00000039987.7,BEST2,75,"The abstracts provide strong CRC-specific evidence for BEST2 as a prognostic biomarker, with comprehensive validation showing low expression correlates with poor survival and high diagnostic accuracy (AUC = 0.97), though the biomarker role is emerging rather than fully established."
ENSG00000169860.7,P2RY1,45,"The abstracts mention P2RY1 in CRC contexts but provide limited direct evidence of its biomarker potential, with most references being secondary to other primary targets or part of broader purinergic signaling studies."
ENSG00000226629.1,LINC00974,65,"The abstract presents LINC00974 as an identified novel biomarker in colorectal cancer through comprehensive computational analysis, but lacks validation data or specific mechanistic insights about its biomarker utility."
ENSG00000133800.9,LYVE1,5,"The abstracts contain minimal CRC biomarker evidence for LYVE1, with only one abstract mentioning LYVE1 as a downregulated gene in a grape diet study focused on kidney health, not CRC."
ENSG00000163710.9,PCOLCE2,75,"The abstracts provide strong CRC-specific evidence with PCOLCE2 consistently identified as a prognostic biomarker across multiple independent studies, showing differential expression in CRC tissues and association with patient survival, though its biomarker utility is still emerging rather than clinically validated."
ENSG00000172572.7,PDE3A,45,"The abstracts mention colorectal cancer but PDE3A is not the primary focus - one study shows lower PDE3A expression in CRC patients, while others focus on gastric cancer or general cancer applications without CRC-specific biomarker validation."
ENSG00000088992.18,TESC,25,"The abstracts mention colorectal cancer in several contexts but provide limited evidence for TESC as a CRC biomarker. Most references are tangential (plant extracts, compound testing, organoid methods) with only one abstract mentioning TSC gene alterations in a rare rectal tumor case."
ENSG00000175161.14,CADM2,65,"The abstracts provide strong CRC-specific evidence for CADM2 as a tumor suppressor gene that is consistently downregulated in colorectal cancer, with demonstrated effects on cell proliferation, invasion, and migration, plus potential prognostic value through genetic interactions with smoking risk factors."
ENSG00000172318.5,B3GALT1,75,"The abstract provides strong CRC-specific evidence showing B3GALT1 (beta3Gal-T5) is down-regulated in colon adenocarcinomas compared to normal colon mucosa, with clear mechanistic insight into cancer-associated glycosylation patterns affecting carcinoembryonic antigen and other N-linked glycoproteins."
ENSG00000139910.20,NOVA1,65,"The abstracts provide strong CRC-specific evidence for NOVA1, showing its role in alternative splicing regulation, prognostic significance, and mechanistic involvement in CRC migration through the Notch pathway, though biomarker validation remains limited."
ENSG00000204936.10,CD177,72,"The abstracts provide strong CRC-specific evidence with CD177 identified as a validated whole-blood RNA biomarker achieving high diagnostic accuracy (AUC 0.952) and showing association with tumor progression, metastasis, and inflammation in colorectal cancer models."
ENSG00000062038.14,CDH3,85,"The abstracts provide strong, direct evidence for CDH3 as a CRC biomarker with clear diagnostic, prognostic, and therapeutic utility, including validated upregulation in CRC tissues, association with poor prognosis and metastasis, and potential as a therapeutic target for bispecific antibody-drug conjugates."
ENSG00000197085.11,NPSR1-AS1,75,"The abstracts provide strong CRC-specific evidence with NPSR1-AS1 showing direct involvement in colorectal cancer cell proliferation and validated diagnostic potential, though biomarker utility appears emerging rather than fully established."
ENSG00000259823.6,LYPD8,75,"The abstracts provide strong CRC-specific evidence showing LYPD8 is significantly reduced in colorectal cancer tissue compared to normal tissue, with clear biomarker potential through its role in inhibiting IL-6/TNF-α secretion and affecting cell proliferation/migration via STAT3/P65 pathways."
ENSG00000134201.12,GSTM5,65,"The abstracts provide strong CRC-specific evidence for GSTM5, including its role in oxaliplatin treatment outcomes, involvement in a circRNA regulatory pathway promoting CRC progression, and identification as a prognostic biomarker in metabolism-related gene signatures, though validation studies show mixed results."
ENSG00000243064.8,ABCC13,45,"ABCC13 is mentioned in CRC contexts across the abstracts, but evidence is limited - it's identified as a downregulated hub gene with diagnostic potential in one study and as an lncRNA associated with apoptosis regulation in another, while a third abstract shows it's a pseudogene in humans, limiting its biomarker utility."
ENSG00000228705.2,LINC00659,85,"The abstracts provide strong, direct evidence for LINC00659 as a CRC biomarker with clear diagnostic, prognostic, and therapeutic potential, including upregulation in CRC tissues, poor prognosis association, and detailed mechanistic pathways (Wnt/β-catenin, PI3K-AKT signaling)."
ENSG00000071991.9,CDH19,45,"CDH19 is mentioned in CRC-related abstracts but evidence is limited - one study shows downregulation in colorectal tumors versus normal tissue, and another mentions it as an enteric glial cell marker in tumor microenvironment analysis, but direct biomarker utility is not established."
ENSG00000073711.11,PPP2R3A,65,"The abstracts provide strong CRC-specific evidence for PPP2R3A as a tumor suppressor gene with functional hypermethylation leading to significant downregulation in colon cancer, though biomarker validation is still emerging."
ENSG00000005249.13,PRKAR2B,45,"PRKAR2B is mentioned in CRC contexts but primarily as part of broader gene panels or pathway studies rather than as a primary focus, with limited direct evidence for specific biomarker utility in colorectal cancer."
ENSG00000206579.9,XKR4,25,"The abstract mentions XKR4 only in passing as one of several genes with 3' UTR mutations potentially involved in metastasis and immunosuppression, but provides no specific evidence for XKR4 as a CRC biomarker or detailed mechanistic insights about its role."
ENSG00000007306.15,CEACAM7,75,"The abstracts provide strong CRC-specific evidence for CEACAM7 as a biomarker, showing consistent downregulation in CRC tissues, prognostic value for survival prediction, and differential expression in urinary exosomes from CRC patients, though the evidence is emerging rather than fully validated."
ENSG00000112936.19,C7,65,"The abstracts provide strong CRC-specific evidence with C7 identified as one of 11 prognostic genes in a validated risk model for colorectal cancer, though the biomarker role is emerging rather than fully established and mechanistic details are limited."
ENSG00000162460.7,TMEM82,25,"TMEM82 is only briefly mentioned as one of ten hub genes identified through bioinformatics analysis, with no correlation to CRC patient survival and no functional characterization provided in the abstract."
ENSG00000163295.5,ALPI,25,"While colon cancer is mentioned in abstracts 1, 4, and 5, ALPI (intestinal alkaline phosphatase) is not the primary focus of these studies, which instead focus on SMAC mimetics, IAP proteins, and apoptosis pathways with only tangential CRC relevance."
ENSG00000108405.4,P2RX1,35,"P2RX1 is mentioned in CRC-related contexts but evidence is limited and indirect. One abstract shows P2RX1 as part of a neutrophil signature associated with colon cancer invasion and survival, while another focuses on IBD rather than cancer, and the third only briefly mentions colon cancer in a pan-cancer analysis."
ENSG00000145384.4,FABP2,85,"The abstracts provide strong, direct evidence for FABP2 as a CRC biomarker with clear diagnostic and prognostic potential, including downregulated expression in CRC tissues/plasma, mechanistic insights through PPAR signaling and lipid metabolism, and validation across multiple study types."
ENSG00000185915.5,KLHL34,65,"The abstracts provide strong CRC-specific evidence with KLHL34 identified as a stage-II salient biomarker in colorectal cancer progression and its methylation status showing predictive potential for chemoradiation therapy response in rectal cancer patients, though validation in larger cohorts is still needed."
ENSG00000249948.6,GBA3,75,"The abstracts provide strong CRC-specific evidence showing cannabinoids (CBG, CBD) demonstrate antiproliferative effects, induce apoptosis, and modulate key pathways in colorectal cancer cell lines, with clear biomarker potential for therapeutic applications, though validation in clinical settings is still needed."
ENSG00000163106.11,HPGDS,75,"The abstracts provide strong CRC-specific evidence showing PGD2 as a biomarker for advanced disease stages and demonstrating that HPGDS-related prostaglandin pathways are dysregulated in CRC, with defective lipid class switching contributing to chronic inflammation and tumor progression."
ENSG00000197587.11,DMBX1,85,"The abstracts provide strong, direct evidence for CRC biomarker potential, with DMBX1 showing significant overexpression in colon cancer tissues, association with poor prognosis, and mechanistic involvement in EMT and tumor microenvironment regulation. Multiple studies demonstrate diagnostic utility of ATX as a serum biomarker and therapeutic targeting potential in colon cancer."
ENSG00000247381.3,PLUT,0,"The abstracts provided discuss colonoscopy preparation methods, non-coding RNAs as biomarkers, MSH3-related polyposis, and prostate cancer imaging, but contain no information about the gene PLUT or its role in colorectal cancer."
ENSG00000173597.9,SULT1B1,65,"The abstracts provide strong CRC-specific evidence with SULT1B1 identified as a prognostic biomarker in multiple studies, showing differential expression patterns and survival associations, though its role appears emerging rather than fully validated."
ENSG00000099953.10,MMP11,85,"The abstracts provide strong, direct evidence for MMP11 as a CRC biomarker, with multiple studies demonstrating its overexpression in CRC tissues, correlation with poor prognosis, association with tumor progression and metastasis, and validation of therapeutic targeting potential."
ENSG00000137872.17,SEMA6D,75,"The abstracts provide strong CRC-specific evidence for SEMA6D as a tumor suppressor with clear biomarker potential, including prognostic value, mechanistic insights through interferon signaling and EMT regulation, and therapeutic implications via epigenetic restoration."
ENSG00000152932.8,RAB3C,85,"The abstracts provide strong, direct evidence for RAB3C as a CRC biomarker with clear prognostic utility, mechanistic insights into IL6-STAT3 pathway modulation, and therapeutic implications including drug resistance and potential targeted treatments."
ENSG00000122641.11,INHBA,75,"The abstracts provide strong CRC-specific evidence for INHBA as a biomarker, with direct mechanistic insights into tumor progression, immune microenvironment modulation, and prognostic significance, though validation as an established clinical biomarker is still emerging."
ENSG00000211895.5,IGHA1,25,"IGHA1 is mentioned only tangentially in the context of general immune markers in colorectal cancer patients, without any specific evidence for its role as a CRC biomarker or mechanistic insights into CRC pathogenesis."
ENSG00000275395.6,FCGBP,75,"The abstracts provide strong CRC-specific evidence with clear biomarker potential, showing FCGBP's role as both a tumor suppressor (through P53 stabilization) and prognostic marker for treatment response and survival in rectal cancer patients undergoing chemoradiotherapy."
ENSG00000198846.6,TOX,65,"The abstracts provide strong CRC-specific evidence with TOX identified as a marker of exhausted CD8+ T cells in colorectal cancer contexts, including associations with tumor immunogenicity and recurrence rates, but the biomarker role is emerging rather than fully validated."
ENSG00000115507.10,OTX1,85,"The abstracts provide strong, direct evidence for OTX1 as a CRC biomarker, demonstrating hypermethylation as a diagnostic marker, overexpression associated with higher stage disease, and mechanistic roles in angiogenesis and epithelial-mesenchymal transition that promote CRC progression."
ENSG00000142875.19,PRKACB,65,"The abstracts provide strong CRC-specific evidence with PRKACB involved in key signaling pathways (DUSP4/CREB/PRKACB) that regulate tumor progression, metastasis, and EMT in colorectal cancer, though its role appears to be as part of broader oncogenic networks rather than as a standalone validated biomarker."
ENSG00000182938.7,OTOP3,85,"The abstracts provide strong direct evidence for OTOP3 as a CRC biomarker, with multiple studies demonstrating its role in CRC progression, prognosis prediction, and diagnostic potential through specific mechanisms like ferroptosis regulation and c-Myc stability."
ENSG00000112175.8,BMP5,65,"The abstracts provide strong CRC-specific evidence with BMP5 identified as a prognostic biomarker in multiple studies, showing diagnostic utility and mechanistic involvement through TGF-β pathway interactions and regulation by cancer-associated fibroblasts, though validation as an established biomarker is still emerging."
ENSG00000236081.1,ELFN1-AS1,85,"The abstracts provide strong direct evidence for ELFN1-AS1 as a CRC biomarker, demonstrating its role in cancer stem cell maintenance, prognostic significance in patient stratification, and potential as both a therapeutic target and neoantigen for immunotherapy."
ENSG00000066468.23,FGFR2,75,"The abstracts provide strong CRC-specific evidence for FGFR2 as a biomarker, including therapeutic targeting studies, prognostic significance of FGFR1 amplification in CRC, and pharmacogenomic associations with treatment toxicity, though the biomarker role is still emerging rather than fully validated."
ENSG00000162461.8,SLC25A34,75,"The abstracts provide strong CRC-specific evidence for SLC25A34 as a biomarker, showing reduced expression in CRC tissues/cells, inclusion in a validated diagnostic model, and detailed mechanistic insights through the MYLIP/NKRF regulatory axis, though biomarker validation appears emerging rather than fully established."
ENSG00000259417.3,CTXND1,0,"No abstracts provided for evaluation of CTXND1 gene - the provided abstracts discuss LINC01314 and miR-96, which are different molecular entities."
ENSG00000135298.14,ADGRB3,65,"The abstracts provide strong CRC-specific evidence with ADGRB3 identified as a hub gene associated with cancer onset and proposed as a novel biomarker, though validation is limited and biomarker utility requires further confirmation."
ENSG00000143196.5,DPT,25,"While abstract 5 mentions DPT (double positive T cells) in the context of colorectal cancer staging and shows lower DPT counts in advanced disease, this represents only tangential evidence as an immune cell marker rather than direct gene biomarker evidence for CRC."
